Source,Dest,Cost
ABE,ABI,180.5
ABE,ABQ,5
ABE,ABR,227
ABE,ACV,683
ABE,AGS,201.4914286
ABE,AMA,279.7
ABE,ANC,167.5
ABE,ATL,196.493871
ABE,ATW,220.9128571
ABE,AUS,181.75
ABE,AVL,166.1666667
ABE,AZO,166.125
ABE,BFL,159
ABE,BHM,243.3736
ABE,BNA,94.17486842
ABE,BOI,196.91
ABE,BOS,161.75
ABE,BRO,302.5
ABE,BTR,171.75
ABE,BUR,361
ABE,BZN,213.75
ABE,CAE,141.555
ABE,CAK,231
ABE,CHA,222.486
ABE,CHS,166.9419048
ABE,CID,119.0142857
ABE,CLE,178.6975
ABE,CLT,170.6295349
ABE,CMH,156.7894737
ABE,CMI,202.53
ABE,COS,268
ABE,CPR,371.335
ABE,CRP,256.8866667
ABE,CRW,236
ABE,CSG,364.5
ABE,CVG,214.8595833
ABE,CWA,234
ABE,DAB,117.1363636
ABE,DAL,350.5
ABE,DAY,170.5242105
ABE,DEN,256.6411538
ABE,DFW,236.1110909
ABE,DHN,300.125
ABE,DLH,209.8333333
ABE,DRO,397
ABE,DSM,203.2757143
ABE,DTW,259.7766667
ABE,ECP,206.3333333
ABE,ELP,305.0390909
ABE,ERI,160
ABE,ESC,166
ABE,EUG,245
ABE,EVV,259.226
ABE,EWN,184.875
ABE,EYW,220.0525
ABE,FAI,197
ABE,FAR,267.375
ABE,FAT,259.1666667
ABE,FAY,168.125
ABE,FCA,350.5
ABE,FLL,96.61283582
ABE,FSD,244.9
ABE,FWA,191.1875
ABE,GEG,199.1333333
ABE,GJT,367
ABE,GNV,158.0745455
ABE,GPT,328.75
ABE,GRB,241.8155556
ABE,GRR,226.1538462
ABE,GSO,184.3181818
ABE,GSP,209.9406897
ABE,GTF,193
ABE,GTR,289.5
ABE,HHH,106.7222222
ABE,HLN,377
ABE,HNL,738.1125
ABE,HOU,350.5
ABE,HSV,225.86
ABE,IAD,171
ABE,IAH,267.17
ABE,ICT,198.2
ABE,IDA,135.76
ABE,ILM,209.75
ABE,IND,229.9331915
ABE,JAC,105
ABE,JAN,225.375
ABE,JAX,181.6966667
ABE,KOA,398
ABE,LAN,175.85
ABE,LAS,211.1932143
ABE,LAX,262.7630303
ABE,LCH,180
ABE,LEX,270.275
ABE,LFT,410.6666667
ABE,LIT,213.85
ABE,LSE,5.5
ABE,LWS,400.98
ABE,LYH,101.5
ABE,MBS,179
ABE,MCI,265.4039394
ABE,MCO,130.4197778
ABE,MEM,249.595
ABE,MFR,412
ABE,MGM,176.2
ABE,MIA,153.2673684
ABE,MKE,208.5638095
ABE,MLB,202.1666667
ABE,MLI,120
ABE,MLU,326.25
ABE,MOB,192
ABE,MSN,228.1142857
ABE,MSO,153.48
ABE,MSP,220.0485185
ABE,MSY,202.0589474
ABE,MYR,152.013125
ABE,OAJ,138.125
ABE,OGG,396.55
ABE,OKC,253.7554545
ABE,OMA,253.105
ABE,ONT,245.6288889
ABE,ORD,231.025
ABE,ORF,176.75
ABE,PBI,145.5531343
ABE,PDX,166.9235
ABE,PGD,87.8950303
ABE,PGV,72.25
ABE,PHX,225.1307317
ABE,PIA,489
ABE,PIE,76.21276596
ABE,PIT,181.4166667
ABE,PLN,250.5
ABE,PNS,167.28125
ABE,PSP,402.108
ABE,PWM,97
ABE,RAP,148.5
ABE,RDD,663
ABE,RDU,155.3148148
ABE,RNO,345.208
ABE,ROA,428
ABE,ROW,543
ABE,RST,151
ABE,RSW,133.4886667
ABE,SAN,246.497
ABE,SAT,222.1914286
ABE,SAV,122.4333333
ABE,SBN,176.4375
ABE,SBP,201.18
ABE,SDF,200.6388235
ABE,SEA,230.901
ABE,SFB,75.00928934
ABE,SFO,236.3736364
ABE,SGF,264.8333333
ABE,SGU,224
ABE,SHV,306.695
ABE,SJC,231.83
ABE,SJT,226.5
ABE,SJU,264.8242857
ABE,SLC,267.3072414
ABE,SMF,273.046
ABE,SNA,176.3866667
ABE,SRQ,84.81319588
ABE,STL,267.53875
ABE,STT,287
ABE,STX,283.875
ABE,TBN,331
ABE,TLH,276.25
ABE,TPA,148.8385542
ABE,TUL,266.8194118
ABE,TUS,211.642
ABE,TVC,95
ABE,TYS,184.7727273
ABE,VPS,178.7916667
ABE,XNA,267.4090909
ABE,YUM,281
ABI,ABE,180.5
ABI,ABQ,227
ABI,AEX,209.5
ABI,AGS,129.75
ABI,ALB,184.7425
ABI,AMA,227
ABI,ANC,435
ABI,ASE,5
ABI,ATL,233.9583333
ABI,ATW,394
ABI,AUS,178
ABI,AVL,197.1
ABI,BDL,197.4766667
ABI,BFL,248.375
ABI,BHM,189.8333333
ABI,BIL,583
ABI,BIS,622.25
ABI,BNA,188.7966667
ABI,BOI,248.176875
ABI,BOS,238.6111111
ABI,BPT,157.75
ABI,BRO,104.5
ABI,BTR,209.875
ABI,BUR,223.875
ABI,BWI,252.889
ABI,BZN,158.5
ABI,CAE,131.2777778
ABI,CHA,274.3333333
ABI,CHS,179.8571429
ABI,CID,131.75
ABI,CLE,269.0692857
ABI,CLL,313
ABI,CLT,210.8680952
ABI,CMH,179.6666667
ABI,COS,167.5
ABI,COU,185.5
ABI,CRP,168.25
ABI,CRW,827
ABI,CVG,273.058
ABI,CWA,156
ABI,DAB,213.758
ABI,DAY,379.625
ABI,DCA,303.7772222
ABI,DEN,163.9848485
ABI,DFW,181.9375
ABI,DRO,133.5
ABI,DSM,162.2975
ABI,DTW,248.1581818
ABI,ECP,99.3
ABI,EGE,224.6666667
ABI,ELP,240.5
ABI,ERI,175
ABI,EUG,241.5
ABI,EWN,298
ABI,EWR,347.416
ABI,EYW,277.5833333
ABI,FAI,320.4325
ABI,FAR,199.75
ABI,FAT,344.3
ABI,FAY,144.5
ABI,FLL,219.8888889
ABI,FSD,258.926
ABI,FWA,233
ABI,GEG,292.51
ABI,GJT,122.3333333
ABI,GNV,138.875
ABI,GPT,200.1
ABI,GRB,215.8325
ABI,GRR,257.5
ABI,GSO,242.9
ABI,GSP,246.0833333
ABI,HNL,519.85
ABI,HOU,111
ABI,HRL,274
ABI,HSV,286.2222222
ABI,HTS,127.67
ABI,IAD,187.9
ABI,IAH,93.5
ABI,ICT,269
ABI,ILM,324.5
ABI,IND,260.7
ABI,IRK,290
ABI,JAC,163.25
ABI,JAN,203.125
ABI,JAX,180.6853846
ABI,LAS,210.4791667
ABI,LAX,167.9071429
ABI,LEX,332
ABI,LFT,225.75
ABI,LGA,193.932
ABI,LIT,237.9545455
ABI,LRD,111
ABI,LSE,167.5
ABI,MCE,204
ABI,MCI,199.1666667
ABI,MCO,212.2564516
ABI,MDT,441.25
ABI,MEM,144.2866667
ABI,MFE,148.5625
ABI,MGM,208.25
ABI,MHK,178.5
ABI,MIA,227.625
ABI,MKE,205.1666667
ABI,MLB,5.5
ABI,MLI,170
ABI,MLU,167
ABI,MOB,165.3333333
ABI,MOT,487
ABI,MRY,322.3333333
ABI,MSN,437.875
ABI,MSO,136.5
ABI,MSP,183.0457143
ABI,MSY,186.6621429
ABI,MTJ,160
ABI,MYR,251.37
ABI,OAJ,255.25
ABI,OGG,491
ABI,OKC,283.6666667
ABI,OMA,350.875
ABI,ONT,178.5454545
ABI,ORD,177.005625
ABI,ORF,265.032
ABI,PBI,361.054
ABI,PDX,303.12
ABI,PHF,639
ABI,PHL,248.756
ABI,PHX,163.4444444
ABI,PIA,185
ABI,PIT,270.3654545
ABI,PNS,183.7727273
ABI,PSC,189
ABI,PSP,197.3333333
ABI,RAP,367.4
ABI,RDD,175.34
ABI,RDM,580
ABI,RDU,224.0417647
ABI,RIC,227.5
ABI,RKS,361.02
ABI,RNO,140.6
ABI,ROA,255.8333333
ABI,ROC,162.51
ABI,RSW,164.6
ABI,SAF,126
ABI,SAN,209.2004167
ABI,SAT,214.25
ABI,SAV,258.6
ABI,SBA,160.055
ABI,SBN,138.5
ABI,SDF,178.75
ABI,SEA,192.07
ABI,SFO,208.8888889
ABI,SGF,166.1666667
ABI,SGU,589
ABI,SJC,236.1625
ABI,SJU,367.5
ABI,SLC,204.4791667
ABI,SMF,198.6428571
ABI,SNA,206.691875
ABI,SPI,185
ABI,SRQ,260.3
ABI,STL,185.1428571
ABI,SYR,412.22
ABI,TLH,156.3333333
ABI,TOL,306
ABI,TPA,177.875
ABI,TRI,268.0733333
ABI,TUL,163.2857143
ABI,TUS,243.5
ABI,TVC,244
ABI,TXK,173
ABI,TYR,5.5
ABI,TYS,184.2857143
ABI,VEL,285.5
ABI,VPS,195
ABI,XNA,109.7333333
ABQ,ABE,427.5
ABQ,ABI,173.6666667
ABQ,ABR,167.5
ABQ,ABY,227
ABQ,ACT,256
ABQ,ACV,138.5
ABQ,ADQ,602
ABQ,AEX,193.125
ABQ,AGS,280.4666667
ABQ,ALB,238.545
ABQ,ALW,189
ABQ,ANC,277.8024528
ABQ,ASE,153.5533333
ABQ,ATL,225.0003493
ABQ,ATW,245.5283333
ABQ,ATY,115
ABQ,AUS,135.2325442
ABQ,AVL,253.68
ABQ,AVP,182.4371429
ABQ,AZO,299.565
ABQ,BDL,202.61275
ABQ,BET,6
ABQ,BFL,266.625
ABQ,BGR,383.99
ABQ,BHM,180.8348889
ABQ,BIL,227.1580952
ABQ,BIS,251.3427273
ABQ,BLI,234.8325
ABQ,BMI,247.25
ABQ,BNA,180.7389051
ABQ,BOI,167.9741573
ABQ,BOS,222.2335455
ABQ,BPT,150.1
ABQ,BQK,369
ABQ,BRO,207.875
ABQ,BTM,558.625
ABQ,BTR,257.9666667
ABQ,BTV,185.24875
ABQ,BUF,180.7311538
ABQ,BUR,151.0147945
ABQ,BWI,172.9845714
ABQ,BZN,163.2266667
ABQ,CAE,290.0818182
ABQ,CAK,191
ABQ,CHA,220.9615385
ABQ,CHO,173.223
ABQ,CHS,178.1709756
ABQ,CID,247.4622727
ABQ,CLE,182.4929851
ABQ,CLL,155.8028571
ABQ,CLT,201.2768889
ABQ,CMH,170.9652381
ABQ,CMI,336
ABQ,COD,179
ABQ,COS,158.9285714
ABQ,COU,410.25
ABQ,CPR,219.125
ABQ,CRP,130.64075
ABQ,CRW,296.5
ABQ,CVG,186.7149275
ABQ,CWA,220.7142857
ABQ,DAB,256.3142857
ABQ,DAL,156.8038424
ABQ,DAY,223.7056667
ABQ,DBQ,5.5
ABQ,DCA,183.0017514
ABQ,DEN,125.6247215
ABQ,DFW,153.3592835
ABQ,DHN,468.5
ABQ,DIK,141.75
ABQ,DLG,603.5
ABQ,DLH,210.0066667
ABQ,DSM,159.01425
ABQ,DTW,212.3125253
ABQ,DUJ,216
ABQ,EAT,193.5
ABQ,ECP,194.3293548
ABQ,EGE,242.1666667
ABQ,EKO,398
ABQ,ELD,427
ABQ,ELM,348
ABQ,ERI,287.5
ABQ,ESC,532.5
ABQ,EUG,129.4344828
ABQ,EVV,187.75
ABQ,EWR,171.9086408
ABQ,EYW,332.423
ABQ,FAI,334.8795238
ABQ,FAR,257.2946667
ABQ,FAT,193.4607143
ABQ,FAY,274.8
ABQ,FCA,184.9761905
ABQ,FLG,219.8925
ABQ,FLL,181.356
ABQ,FNT,665.5
ABQ,FSD,234.3447619
ABQ,FSM,193.05
ABQ,FWA,196.8716667
ABQ,GCC,453
ABQ,GEG,150.8582278
ABQ,GFK,507.75
ABQ,GGG,252.75
ABQ,GJT,226.1666667
ABQ,GNV,274.2083333
ABQ,GPT,232.375
ABQ,GRB,205.3371429
ABQ,GRI,107.5
ABQ,GRK,156.1
ABQ,GRR,196.5977778
ABQ,GSO,257.8052174
ABQ,GSP,208.6839394
ABQ,GTF,240.598
ABQ,GTR,138.5
ABQ,GUC,229
ABQ,HDN,91.66666667
ABQ,HHH,118.94
ABQ,HLN,300.875
ABQ,HNL,276.635098
ABQ,HOU,163.3006504
ABQ,HPN,76.02666667
ABQ,HRL,160.6556
ABQ,HSV,222.0988636
ABQ,IAD,213.7521839
ABQ,IAH,199.5499043
ABQ,ICT,153.7625
ABQ,IDA,228.3421053
ABQ,ILM,207.1091667
ABQ,IND,187.8766292
ABQ,ISP,118.0775
ABQ,ITH,342
ABQ,JAC,164.1052632
ABQ,JAN,233.4375
ABQ,JAX,172.8428302
ABQ,JFK,206.4934848
ABQ,JLN,299.25
ABQ,JNU,296.36
ABQ,KOA,269.1277551
ABQ,KTN,332
ABQ,LAN,212.9325
ABQ,LAR,223
ABQ,LAS,135.2894038
ABQ,LAW,430.5
ABQ,LAX,168.8514159
ABQ,LBB,262.5
ABQ,LBF,264.505
ABQ,LCH,241.0714286
ABQ,LEB,287.5
ABQ,LEX,210.0542857
ABQ,LFT,223.375
ABQ,LGA,170.3564234
ABQ,LGB,125.6257143
ABQ,LIH,220.3566667
ABQ,LIT,182.72
ABQ,LNK,199.125
ABQ,LRD,671.25
ABQ,LSE,211.5585714
ABQ,LWS,275.6666667
ABQ,LYH,137
ABQ,MAF,203.356
ABQ,MBS,293.8033333
ABQ,MCI,145.6224648
ABQ,MCO,196.9932381
ABQ,MDT,251.06375
ABQ,MDW,192.1357009
ABQ,MEI,222.75
ABQ,MEM,169.93
ABQ,MFE,255.3846154
ABQ,MFR,145.2078947
ABQ,MGM,201.9725
ABQ,MHK,332.5
ABQ,MHT,167.3964286
ABQ,MIA,192.6444186
ABQ,MKE,189.7073846
ABQ,MLB,174.7911111
ABQ,MLI,195.29125
ABQ,MLU,227.75
ABQ,MOB,236.6111111
ABQ,MOT,267.75
ABQ,MQT,166
ABQ,MRY,158.3441667
ABQ,MSN,188.191
ABQ,MSO,209.9117647
ABQ,MSP,186.0652261
ABQ,MSY,186.2164078
ABQ,MTJ,102.8333333
ABQ,MWA,202
ABQ,MYR,187.73
ABQ,OAJ,266.0454545
ABQ,OAK,152.6782888
ABQ,OGG,317.9924706
ABQ,OKC,173.714
ABQ,OMA,140.686
ABQ,OME,434.57
ABQ,ONT,163.5384043
ABQ,ORD,202.0463793
ABQ,ORF,250.18
ABQ,OWB,249.26
ABQ,PAE,130.06
ABQ,PAH,177.5
ABQ,PBI,243.7323077
ABQ,PDX,126.9846183
ABQ,PHF,152.5
ABQ,PHL,240.8891525
ABQ,PHX,145.5476525
ABQ,PIA,230
ABQ,PIB,223
ABQ,PIH,263.5
ABQ,PIR,257.5
ABQ,PIT,185.6310448
ABQ,PLN,223.5
ABQ,PNS,201.7967273
ABQ,PQI,277
ABQ,PSC,188.44
ABQ,PSP,145.6878947
ABQ,PUW,242
ABQ,PVD,222.4493333
ABQ,PWM,225.9616667
ABQ,RAP,193.8827273
ABQ,RDD,217
ABQ,RDM,147.0817391
ABQ,RDU,206.9304902
ABQ,RIC,260.2121053
ABQ,RIW,439
ABQ,RKS,103.5
ABQ,RNO,175.7258824
ABQ,ROA,301.8
ABQ,ROC,245.9752941
ABQ,RST,217.6666667
ABQ,RSW,180.1385915
ABQ,SAN,134.9505921
ABQ,SAT,156.7262312
ABQ,SAV,220.5683871
ABQ,SBA,256.6176471
ABQ,SBN,251.67125
ABQ,SBP,137.5833333
ABQ,SBY,73.325
ABQ,SCE,267
ABQ,SDF,202.1253191
ABQ,SEA,137.6490683
ABQ,SFO,174.5653012
ABQ,SGF,210.52
ABQ,SGU,163.7646667
ABQ,SHR,318.75
ABQ,SHV,215.6428571
ABQ,SIT,524.81
ABQ,SJC,161.0178846
ABQ,SJT,185.5
ABQ,SJU,267.7055814
ABQ,SLC,176.9436122
ABQ,SLN,77.98
ABQ,SMF,180.2135659
ABQ,SNA,152.0683333
ABQ,SPI,274.25
ABQ,SPS,194.1666667
ABQ,SRQ,199.8772727
ABQ,STL,181.6640426
ABQ,STT,253.4925
ABQ,STX,359.27
ABQ,SUN,138.1666667
ABQ,SUX,124
ABQ,SYR,264.42875
ABQ,TLH,220.8421429
ABQ,TPA,185.7867021
ABQ,TRI,300.931
ABQ,TUL,165.5116883
ABQ,TUS,138.1190323
ABQ,TVC,225.2
ABQ,TWF,208.1
ABQ,TXK,260.125
ABQ,TYR,190.3
ABQ,TYS,262.2640541
